class,precision,recall,f1-score,support
amusement,0.8235294117647058,0.7486631016042781,0.7843137254901961,374.0
excitement,0.4881889763779528,0.6326530612244898,0.5511111111111111,98.0
joy,0.6432160804020101,0.6274509803921569,0.6352357320099256,204.0
love,0.6764705882352942,0.8041958041958042,0.7348242811501597,143.0
desire,0.44954128440366975,0.6125,0.5185185185185185,80.0
optimism,0.6111111111111112,0.852112676056338,0.711764705882353,142.0
caring,0.6802721088435374,0.6666666666666666,0.6734006734006734,150.0
pride,0.8548387096774194,0.6162790697674418,0.7162162162162162,86.0
admiration,0.5739130434782609,0.6534653465346535,0.6111111111111112,101.0
gratitude,0.8099173553719008,0.9074074074074074,0.8558951965065502,108.0
relief,0.5483870967741935,0.5666666666666667,0.5573770491803278,60.0
approval,0.7029702970297029,0.6173913043478261,0.6574074074074074,115.0
realization,0.45977011494252873,0.42105263157894735,0.43956043956043955,95.0
surprise,0.6125,0.5764705882352941,0.593939393939394,85.0
curiosity,0.71,0.71,0.71,100.0
confusion,0.48717948717948717,0.4523809523809524,0.4691358024691358,84.0
fear,0.7191011235955056,0.6530612244897959,0.6844919786096256,98.0
nervousness,0.4842105263157895,0.4791666666666667,0.4816753926701571,96.0
remorse,0.8333333333333334,0.632183908045977,0.7189542483660131,87.0
embarrassment,0.753968253968254,0.8878504672897196,0.8154506437768241,107.0
disappointment,0.4596774193548387,0.5786802030456852,0.5123595505617977,197.0
sadness,0.7337110481586402,0.7507246376811594,0.7421203438395415,345.0
grief,0.7662337662337663,0.686046511627907,0.7239263803680982,86.0
disgust,0.5037037037037037,0.48226950354609927,0.4927536231884058,141.0
anger,0.5679012345679012,0.7301587301587301,0.6388888888888888,189.0
annoyance,0.5733333333333334,0.7521865889212828,0.6506935687263556,343.0
disapproval,0.3671497584541063,0.6785714285714286,0.47648902821316613,112.0
neutral,0.39344262295081966,0.41379310344827586,0.40336134453781514,116.0
micro avg,0.6164383561643836,0.6735159817351598,0.6437143896229846,3942.0
macro avg,0.6174132781986346,0.6496446153768447,0.6271777269892932,3942.0
weighted avg,0.6317654380283032,0.6735159817351598,0.6466111050061568,3942.0
samples avg,0.6371311078858249,0.6911465892597968,0.6314092965036361,3942.0
