class,precision,recall,f1-score,support
amusement,0.7855072463768116,0.7245989304812834,0.7538247566063978,374.0
excitement,0.5363636363636364,0.6020408163265306,0.5673076923076923,98.0
joy,0.7077922077922078,0.5343137254901961,0.6089385474860335,204.0
love,0.7006369426751592,0.7692307692307693,0.7333333333333333,143.0
desire,0.4888888888888889,0.55,0.5176470588235295,80.0
optimism,0.7272727272727273,0.7323943661971831,0.7298245614035088,142.0
caring,0.625,0.7666666666666667,0.688622754491018,150.0
pride,0.8571428571428571,0.627906976744186,0.7248322147651006,86.0
admiration,0.5511811023622047,0.693069306930693,0.6140350877192983,101.0
gratitude,0.8598130841121495,0.8518518518518519,0.8558139534883721,108.0
relief,0.5454545454545454,0.6,0.5714285714285714,60.0
approval,0.6639344262295082,0.7043478260869566,0.6835443037974683,115.0
realization,0.45614035087719296,0.5473684210526316,0.49760765550239233,95.0
surprise,0.6666666666666666,0.5647058823529412,0.6114649681528662,85.0
curiosity,0.6551724137931034,0.76,0.7037037037037037,100.0
confusion,0.4805194805194805,0.44047619047619047,0.45962732919254656,84.0
fear,0.7866666666666666,0.6020408163265306,0.6820809248554913,98.0
nervousness,0.5,0.4270833333333333,0.4606741573033708,96.0
remorse,0.6962025316455697,0.632183908045977,0.6626506024096386,87.0
embarrassment,0.9130434782608695,0.7850467289719626,0.8442211055276382,107.0
disappointment,0.44776119402985076,0.6091370558375635,0.5161290322580645,197.0
sadness,0.7388724035608308,0.7217391304347827,0.7302052785923754,345.0
grief,0.5583333333333333,0.7790697674418605,0.6504854368932039,86.0
disgust,0.4624277456647399,0.5673758865248227,0.5095541401273885,141.0
anger,0.6863905325443787,0.6137566137566137,0.6480446927374302,189.0
annoyance,0.6139896373056994,0.6909620991253644,0.6502057613168725,343.0
disapproval,0.34782608695652173,0.6428571428571429,0.45141065830721006,112.0
neutral,0.44680851063829785,0.3620689655172414,0.4,116.0
micro avg,0.6248486316299346,0.654490106544901,0.6393259819105439,3942.0
macro avg,0.6252074534690679,0.6393676135021884,0.625972081518947,3942.0
weighted avg,0.6430928366175147,0.654490106544901,0.6432660334637215,3942.0
samples avg,0.6408321238509918,0.6731817448798582,0.6260453383094893,3942.0
