class,precision,recall,f1-score,support
amusement,0.7720797720797721,0.7245989304812834,0.7475862068965518,374.0
excitement,0.5753424657534246,0.42857142857142855,0.49122807017543857,98.0
joy,0.5863874345549738,0.5490196078431373,0.5670886075949367,204.0
love,0.7388059701492538,0.6923076923076923,0.7148014440433214,143.0
desire,0.4827586206896552,0.525,0.5029940119760479,80.0
optimism,0.7021276595744681,0.6971830985915493,0.6996466431095406,142.0
caring,0.5766871165644172,0.6266666666666667,0.6006389776357828,150.0
pride,0.8571428571428571,0.5581395348837209,0.676056338028169,86.0
admiration,0.48412698412698413,0.6039603960396039,0.5374449339207048,101.0
gratitude,0.945054945054945,0.7962962962962963,0.864321608040201,108.0
relief,0.43373493975903615,0.6,0.5034965034965035,60.0
approval,0.6836734693877551,0.5826086956521739,0.6291079812206573,115.0
realization,0.3356643356643357,0.5052631578947369,0.40336134453781514,95.0
surprise,0.5783132530120482,0.5647058823529412,0.5714285714285714,85.0
curiosity,0.7352941176470589,0.75,0.7425742574257426,100.0
confusion,0.325,0.4642857142857143,0.38235294117647056,84.0
fear,0.7045454545454546,0.6326530612244898,0.6666666666666666,98.0
nervousness,0.576271186440678,0.3541666666666667,0.43870967741935485,96.0
remorse,0.6739130434782609,0.7126436781609196,0.6927374301675978,87.0
embarrassment,0.851063829787234,0.7476635514018691,0.7960199004975125,107.0
disappointment,0.420863309352518,0.5939086294416244,0.4926315789473684,197.0
sadness,0.7366771159874608,0.6811594202898551,0.7078313253012049,345.0
grief,0.7538461538461538,0.5697674418604651,0.6490066225165563,86.0
disgust,0.45695364238410596,0.48936170212765956,0.4726027397260274,141.0
anger,0.565,0.5978835978835979,0.5809768637532133,189.0
annoyance,0.5782493368700266,0.6355685131195336,0.6055555555555555,343.0
disapproval,0.30386740331491713,0.49107142857142855,0.37542662116040953,112.0
neutral,0.3838383838383838,0.3275862068965517,0.35348837209302325,116.0
micro avg,0.5930778739184178,0.6085743277524099,0.6007261800425692,3942.0
macro avg,0.6006172428930778,0.5893586071254145,0.588063635518248,3942.0
weighted avg,0.61656694553634,0.6085743277524099,0.6073247507986628,3942.0
samples avg,0.5862602805999032,0.6285921625544267,0.5714337374714734,3942.0
