system,seed,macro_f1_opt,macro_f1_fixed,best_epoch,notes
A0_Baseline_Clean,42,0.6132721835284792,0.6074426835650549,7,4A notebook run
A0_Baseline_Clean,1,0.623089059662581,0.6181527889242622,12,4A notebook run
A0_Baseline_Clean,7,0.6154767484945548,0.6184829145916011,11,4A notebook run
A1_ASL,42,0.6070008814525627,0.5674411821125984,3,4A notebook run
A1_ASL,1,0.6128040951635528,0.5795703170233185,3,4A notebook run
A1_ASL,7,0.6147412898070534,0.5759057157653077,3,4A notebook run
A2_EmoViS,42,0.6164554661045095,0.5871852074293884,3,4A notebook run
A2_EmoViS,1,0.6126198275441653,0.5855281111490535,3,4A notebook run
A2_EmoViS,7,0.6122343198403638,0.5872610303246896,3,4A notebook run
A3_EmoViS_CB,42,0.6190267423921713,0.585348997201626,3,4A notebook run
A3_EmoViS_CB,1,0.6187781939736823,0.586609137484741,3,4A notebook run
A3_EmoViS_CB,7,0.6224387331426909,0.5851185772315596,3,4A notebook run
