system_a,system_b,macro_f1_a,macro_f1_b,delta,p_value,p_adjusted,significant_005
A0_Baseline_Clean (seed 42),A1_ASL (seed 42),0.6074426835650549,0.5674411821125984,-0.03989970970742066,1.0,1.0,False
A1_ASL (seed 42),A2_EmoViS (seed 42),0.5674411821125984,0.5871852074293884,0.019762228104322675,0.0,0.0,True
A2_EmoViS (seed 42),A3_EmoViS_CB (seed 42),0.5871852074293884,0.585348997201626,-0.0018792982324564484,0.7567,1.0,False
A3_EmoViS_CB (seed 42),EmoViS-Ens (A3 Ensemble),0.585348997201626,0.6104658709054178,0.025153853174259576,0.0,0.0,True
